Fast first order indexes
                    	                TAGP	                TWSO	        PuptakeTotal	
               TSUM1	              0.2563	              0.0548	              0.2275	
               TSUM2	              0.4106	              0.5447	              0.6319	
                TDWI	              0.0015	            0.000835	            0.000867	
              RGRLAI	              0.0028	              0.0016	              0.0020	
              SLATB3	              0.0204	              0.0116	              0.0095	
              SLATB9	             0.00046	            0.000762	            0.000851	
                SPAN	              0.0013	              0.0013	              0.0023	
               TBASE	             0.00045	              0.0179	            0.000229	
             KDIFTB3	            0.000202	            0.000354	            0.000731	
             KDIFTB7	            0.000665	              0.0017	            0.000563	
              EFFTB1	              0.0751	              0.0596	              0.0486	
              EFFTB3	              0.0573	              0.0157	              0.0374	
             AMAXTB1	              0.0014	            0.000913	              0.0015	
             AMAXTB3	              0.0092	              0.0101	              0.0074	
             AMAXTB5	              0.0040	              0.0401	              0.0016	
             TMPFTB1	              0.0013	              0.0030	            0.000716	
             TMPFTB3	              0.0016	              0.0046	            0.000653	
                 CVL	              0.0028	            0.000494	              0.0027	
                 CVO	              0.0804	              0.2475	              0.0402	
                 CVR	              0.0147	              0.0047	              0.0087	
                 CVS	              0.0045	              0.0018	              0.0029	
                 Q10	            0.000857	              0.0014	            0.000762	
                 RML	              0.0422	              0.0081	              0.0183	
                 RMO	              0.0050	              0.0034	              0.0050	
                 RMR	            0.000503	              0.0021	            0.000897	
                 RMS	              0.0048	              0.0068	              0.0049	
               FRTB1	            0.000232	              0.0023	            0.000283	
               FRTB3	              0.1055	              0.0020	              0.1053	
               FRTB5	              0.0661	              0.0018	              0.0065	
               FLTB3	              0.0337	              0.0028	              0.0188	
               FLTB5	              0.0050	              0.0026	              0.0051	
               FLTB7	              0.0235	              0.0017	              0.0218	
               FLTB9	            0.000916	              0.0016	             0.00039	
             RDRRTB5	            0.000246	            0.000529	            0.000417	
             RDRRTB7	            0.000436	            0.000759	            0.000702	
             RDRSTB5	              0.0011	            0.000677	              0.0023	
             RDRSTB7	              0.0051	              0.0013	              0.0051	
                 RDI	              0.0010	              0.0095	              0.0015	
                 RRI	              0.0019	              0.0026	              0.0031	
               RDMCR	            0.000122	            0.000481	             0.00024	
                 WAV	            0.000237	             0.00048	            0.000259	
               SMLIM	            0.000669	              0.0025	            0.000151	
             NAVAILI	              0.0021	              0.0098	              0.0019	
             PAVAILI	            0.000314	              0.0015	            0.000609	
             KAVAILI	             0.00075	              0.0025	            0.000283	
            CROPTIME	              0.4646	              0.2753	              0.4605	

Fast total order Indexes
                    	                TAGP	                TWSO	        PuptakeTotal	
               TSUM1	            0.281233	            0.140829	            0.289116	
               TSUM2	            0.488963	            0.638194	            0.683859	
                TDWI	            0.014325	            0.018286	            0.013786	
              RGRLAI	            0.043148	            0.026738	            0.040956	
              SLATB3	            0.043494	            0.106072	            0.031521	
              SLATB9	            0.018799	            0.026407	            0.019856	
                SPAN	            0.037229	            0.052514	            0.070894	
               TBASE	            0.019893	            0.376399	            0.016099	
             KDIFTB3	            0.013244	            0.016854	            0.012462	
             KDIFTB7	            0.016413	            0.024653	            0.015313	
              EFFTB1	            0.091654	            0.080721	            0.065480	
              EFFTB3	            0.077662	            0.038753	            0.055876	
             AMAXTB1	            0.019194	            0.023210	            0.017617	
             AMAXTB3	            0.021161	            0.034155	            0.020385	
             AMAXTB5	            0.020082	            0.100610	            0.023783	
             TMPFTB1	            0.019202	            0.027930	            0.015401	
             TMPFTB3	            0.025379	            0.046157	            0.021658	
                 CVL	            0.015963	            0.023691	            0.015676	
                 CVO	            0.100842	            0.284654	            0.062966	
                 CVR	            0.034307	            0.079308	            0.033149	
                 CVS	            0.016308	            0.023816	            0.015341	
                 Q10	            0.016196	            0.033300	            0.014865	
                 RML	            0.159045	            0.051150	            0.080569	
                 RMO	            0.064710	            0.044540	            0.042103	
                 RMR	            0.015300	            0.048467	            0.013407	
                 RMS	            0.020092	            0.027877	            0.019852	
               FRTB1	            0.013649	            0.042702	            0.014107	
               FRTB3	            0.157950	            0.045542	            0.221895	
               FRTB5	            0.135938	            0.038075	            0.055324	
               FLTB3	            0.073387	            0.045871	            0.049411	
               FLTB5	            0.028792	            0.033945	            0.031968	
               FLTB7	            0.105110	            0.048093	            0.099142	
               FLTB9	            0.013611	            0.017894	            0.012482	
             RDRRTB5	            0.018581	            0.028960	            0.016287	
             RDRRTB7	            0.017372	            0.026987	            0.019145	
             RDRSTB5	            0.029284	            0.025428	            0.031195	
             RDRSTB7	            0.135973	            0.043531	            0.063525	
                 RDI	            0.020671	            0.130345	            0.025470	
                 RRI	            0.034842	            0.060661	            0.044630	
               RDMCR	            0.011947	            0.016495	            0.011960	
                 WAV	            0.013534	            0.016234	            0.011810	
               SMLIM	            0.015601	            0.032226	            0.013108	
             NAVAILI	            0.031325	            0.167238	            0.026983	
             PAVAILI	            0.012898	            0.025005	            0.012917	
             KAVAILI	            0.014361	            0.022271	            0.013984	
            CROPTIME	            0.498194	            0.385376	            0.524981	
